#start_time(samples),start_time(iso),end_time(samples),end_time(iso),current_mean(A),current_min(A),current_max(A),voltage_mean(V),voltage_min(V),voltage_max(V),power_mean(W),power_min(W),power_max(W),charge(C),charge(Ah),energy(J),energy(Wh)
1987664172,2023-01-18T13:18:01.592047,2042586586,2023-01-18T13:18:29.034537,0.0073731,0.00352129,0.0114574,3.27863,3.26145,3.29437,0.0241726,0.0115844,0.0374329,0.202474,5.62429e-05,0.663809,0.000184391
2042594509,2023-01-18T13:18:29.036298,2042607613,2023-01-18T13:18:29.038492,0.00947878,0.00912626,0.0099492,3.27208,3.26826,3.27621,0.0310153,0.0298581,0.0325279,6.20955e-05,1.72488e-08,0.000203181,5.64393e-08
2052826807,2023-01-18T13:18:34.151848,2107575989,2023-01-18T13:19:01.518798,0.00737384,0.00353326,0.0114604,3.27864,3.26259,3.29437,0.0241751,0.0116238,0.0374557,0.201856,5.60711e-05,0.661783,0.000183829
2107583963,2023-01-18T13:19:01.519905,2107597065,2023-01-18T13:19:01.521328,0.00947464,0.00905144,0.00999708,3.27209,3.26826,3.27621,0.0310019,0.0296339,0.0326958,6.20589e-05,1.72386e-08,0.000203062,5.64062e-08
2117784992,2023-01-18T13:19:06.619098,2172669698,2023-01-18T13:19:34.065443,0.00737034,0.00352727,0.0114335,3.27867,3.26259,3.29437,0.0241638,0.0116041,0.0373417,0.202259,5.61832e-05,0.663113,0.000184198
2172677566,2023-01-18T13:19:34.066167,2172690672,2023-01-18T13:19:34.067160,0.00951,0.0091472,0.00993723,3.27185,3.26826,3.27508,0.0311153,0.029937,0.0325113,6.23095e-05,1.73082e-08,0.000203867,5.66298e-08
2182859982,2023-01-18T13:19:39.197502,2242655995,2023-01-18T13:20:09.076597,0.00738579,0.00354223,0.0114245,3.27865,3.26259,3.29551,0.0242143,0.0116534,0.0373253,0.22082,6.1339e-05,0.723959,0.0002011
2242663832,2023-01-18T13:20:09.078349,2242678383,2023-01-18T13:20:09.080584,0.00947551,0.00912925,0.0100031,3.27189,3.26826,3.27621,0.0310028,0.0298679,0.0327154,6.89296e-05,1.91471e-08,0.00022553,6.26472e-08
2252772239,2023-01-18T13:20:14.128226,2313262460,2023-01-18T13:20:44.336399,0.00737846,0.00354223,0.0114335,3.27865,3.26259,3.29437,0.0241903,0.0116534,0.0373417,0.223162,6.19896e-05,0.731638,0.000203233
2313270290,2023-01-18T13:20:44.337092,2313284841,2023-01-18T13:20:44.338290,0.0094755,0.00904546,0.00997613,3.27189,3.26713,3.27621,0.0310028,0.0295938,0.0326386,6.89296e-05,1.91471e-08,0.00022553,6.26472e-08
2323493027,2023-01-18T13:20:49.478922,2383525538,2023-01-18T13:21:19.467894,0.0073834,0.00354523,0.0114784,3.27857,3.26145,3.29437,0.0242058,0.0116672,0.0375013,0.221622,6.15616e-05,0.726569,0.000201825
2383533179,2023-01-18T13:21:19.473148,2383547730,2023-01-18T13:21:19.474109,0.00947585,0.00924895,0.00997314,3.27183,3.26826,3.27508,0.0310033,0.0302588,0.0326288,6.89321e-05,1.91478e-08,0.000225534,6.26482e-08
2393723888,2023-01-18T13:21:24.605389,2453765433,2023-01-18T13:21:54.571810,0.00738391,0.00354822,0.0114544,3.27846,3.26259,3.29437,0.0242068,0.0116771,0.0373971,0.221671,6.15752e-05,0.726705,0.000201863
2453773193,2023-01-18T13:21:54.572476,2453787743,2023-01-18T13:21:54.573570,0.00947778,0.00906341,0.00993723,3.27179,3.26826,3.27508,0.0310093,0.0296731,0.0325113,6.89414e-05,1.91504e-08,0.000225561,6.26559e-08
2463957435,2023-01-18T13:21:59.689330,2524853328,2023-01-18T13:22:30.155262,0.00737562,0.00353326,0.0114365,3.27854,3.26259,3.29437,0.0241802,0.0116238,0.0373644,0.224572,6.23812e-05,0.736236,0.00020451
2524861164,2023-01-18T13:22:30.156443,2524875733,2023-01-18T13:22:30.165102,0.00948933,0.00924596,0.0100001,3.27198,3.26826,3.27508,0.0310489,0.0302497,0.0327169,6.91155e-05,1.91988e-08,0.000226145,6.2818e-08
2535004629,2023-01-18T13:22:35.170246,2595556877,2023-01-18T13:23:05.555352,0.00737811,0.00351231,0.0114425,3.27848,3.26145,3.29437,0.0241879,0.0115589,0.0373612,0.223381,6.20502e-05,0.732315,0.000203421
2595564731,2023-01-18T13:23:05.564214,2595579281,2023-01-18T13:23:05.567297,0.00947414,0.0091083,0.00995518,3.27159,3.26826,3.27508,0.0309955,0.029789,0.0325588,6.89149e-05,1.9143e-08,0.000225462,6.26282e-08
2605723831,2023-01-18T13:23:10.592340,2665037864,2023-01-18T13:23:40.321808,0.0073874,0.00356019,0.0114484,3.27829,3.26259,3.29324,0.0242169,0.0117124,0.0373905,0.219088,6.08578e-05,0.718201,0.0001995
2665045612,2023-01-18T13:23:40.324208,2665060162,2023-01-18T13:23:40.327003,0.00947531,0.00923698,0.010027,3.27143,3.26713,3.27508,0.0309978,0.0302099,0.0327937,6.89234e-05,1.91454e-08,0.000225478,6.26327e-08
2675222891,2023-01-18T13:23:45.343050,2735098265,2023-01-18T13:24:15.241549,0.00738326,0.00353924,0.0114395,3.27838,3.26145,3.29437,0.024204,0.0116435,0.0373612,0.221038,6.13994e-05,0.724612,0.000201281
2735106126,2023-01-18T13:24:15.241894,2735120693,2023-01-18T13:24:15.242461,0.00948171,0.00903947,0.00991927,3.27171,3.26826,3.27508,0.0310214,0.0295742,0.0324315,6.90505e-05,1.91807e-08,0.000225913,6.27537e-08
2745274437,2023-01-18T13:24:20.371170,2805587019,2023-01-18T13:24:50.545220,0.00737873,0.00352428,0.0114514,3.27834,3.26145,3.29324,0.0241888,0.0115983,0.0373873,0.222515,6.18098e-05,0.729446,0.000202624
2805594864,2023-01-18T13:24:50.546603,2805609416,2023-01-18T13:24:50.548106,0.00947155,0.00924895,0.010027,3.27149,3.26713,3.27508,0.0309861,0.030249,0.032805,6.89055e-05,1.91404e-08,0.000225424,6.26177e-08
2815797475,2023-01-18T13:24:55.581235,2874848907,2023-01-18T13:25:25.106764,0.00738976,0.00351829,0.0114185,3.27836,3.26259,3.29437,0.0242252,0.0115746,0.0372928,0.218188,6.06078e-05,0.715265,0.000198685
2874856750,2023-01-18T13:25:25.107164,2874871298,2023-01-18T13:25:25.214800,0.00948176,0.00925194,0.0100779,3.27135,3.26713,3.27508,0.0310182,0.0302588,0.0329829,6.89608e-05,1.91558e-08,0.000225595,6.26653e-08
2885076825,2023-01-18T13:25:30.238424,2950879307,2023-01-18T13:26:03.214113,0.00738745,0.00354822,0.0114484,3.2784,3.26145,3.29437,0.0242179,0.011673,0.0373905,0.243056,6.75157e-05,0.796799,0.000221333
2950887221,2023-01-18T13:26:03.215554,2950903221,2023-01-18T13:26:03.217606,0.0094712,0.00900656,0.00992825,3.2722,3.26826,3.27621,0.0309916,0.0294869,0.0324707,7.57601e-05,2.10445e-08,0.000247902,6.88616e-08
2961103851,2023-01-18T13:26:08.311947,3026323312,2023-01-18T13:26:40.944997,0.00739112,0.00352727,0.0114215,3.27827,3.26259,3.29437,0.0242289,0.0116041,0.0372896,0.241022,6.69507e-05,0.790099,0.000219472
3026331198,2023-01-18T13:26:40.946779,3026347196,2023-01-18T13:26:40.953964,0.0094641,0.00908137,0.00995518,3.27146,3.26713,3.27508,0.0309614,0.0297216,0.0325701,7.56938e-05,2.10261e-08,0.000247629,6.87859e-08
3036503840,2023-01-18T13:26:45.973421,3101500541,2023-01-18T13:27:18.486185,0.00739342,0.00355121,0.0114455,3.27835,3.26145,3.29437,0.024237,0.0116829,0.0373808,0.240274,6.67428e-05,0.787664,0.000218796
3101508342,2023-01-18T13:27:18.487060,3101524341,2023-01-18T13:27:18.488031,0.00947015,0.00901254,0.00990431,3.2713,3.26713,3.27508,0.0309796,0.0294963,0.0323811,7.5747e-05,2.10408e-08,0.000247791,6.88307e-08
3111641742,2023-01-18T13:27:23.507659,3178012559,2023-01-18T13:27:56.789928,0.00738209,0.00351829,0.0114514,3.2781,3.26259,3.29437,0.0241981,0.0115746,0.0374133,0.244978,6.80494e-05,0.803024,0.000223062
